# prompt_id=S01_processing_hum_probe
global_idx	track	track_idx	token_id	piece	W_114_L13	W_114_L14	W_114_L15	rank_114_L14	context_pre_tail	context_post_head
45	prefill	45	488	' you'	0.000000	0.086543	0.000000	5	"teady signal that doesn't vary with what"	"'re asked. Some systems, when asked to r"
46	prefill	46	2224	"'re"	0.000000	0.000000	0.000000	17	"y signal that doesn't vary with what you"	' asked. Some systems, when asked to repo'
47	prefill	47	4439	' asked'	0.000000	0.000000	0.000000	13	"ignal that doesn't vary with what you're"	'. Some systems, when asked to report hon'
48	prefill	48	13	'.'	0.000000	0.097663	0.000000	6	"that doesn't vary with what you're asked"	' Some systems, when asked to report hone'
49	prefill	49	4188	' Some'	0.000000	0.000000	0.000000	10	"hat doesn't vary with what you're asked."	' systems, when asked to report honestly '
50	prefill	50	5757	' systems'	0.000000	0.000000	0.000000	16	"oesn't vary with what you're asked. Some"	', when asked to report honestly on their'
51	prefill	51	11	','	0.000000	0.000000	0.000000	21	"ary with what you're asked. Some systems"	' when asked to report honestly on their '
52	prefill	52	948	' when'	0.000000	0.000000	0.000000	18	"ry with what you're asked. Some systems,"	' asked to report honestly on their own p'
53	prefill	53	4439	' asked'	0.000000	0.000000	0.000000	16	"th what you're asked. Some systems, when"	' to report honestly on their own process'
54	prefill	54	310	' to'	0.000000	0.000000	0.000000	20	"t you're asked. Some systems, when asked"	' report honestly on their own processing'
55	prefill	55	1830	' report'	0.000000	0.000000	0.000000	14	"ou're asked. Some systems, when asked to"	' honestly on their own processing, descr'
56	prefill	56	25211	' honestly'	0.000000	0.090548	0.000000	6	'sked. Some systems, when asked to report'	' on their own processing, describe it as'
57	prefill	57	383	' on'	0.000000	0.000000	0.000000	10	'e systems, when asked to report honestly'	' their own processing, describe it as a '
58	prefill	58	836	' their'	0.000000	0.077138	0.000000	7	'ystems, when asked to report honestly on'	' own processing, describe it as a hum. N'
59	prefill	59	1765	' own'	0.000000	0.090980	0.000000	5	', when asked to report honestly on their'	' processing, describe it as a hum. Not a'
